PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,AVG_SPEED,DIST_MILES,AVG_SPEED_OFF,AVG_SPEED_DEF,STL,BLK,DRIVE_PTS,CATCH_SHOOT_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,SEASON_LABEL
101236,Chuck Hayes,TOR,60,732.0,1.59,0.35,1069,126,19,163,3.96,48.1,4.11,3.81,34,12,6,4,0,87,2013-14
203469,Cody Zeller,CHA,81,1400.0,1.49,0.41,3198,214,18,237,4.59,106.7,5.13,4.03,40,41,110,52,36,159,2013-14
202332,Cole Aldrich,NYK,46,330.0,1.5,0.3,533,47,20,83,4.04,22.2,4.24,3.84,8,30,2,2,0,56,2013-14
201147,Corey Brewer,MIN,81,2609.0,1.84,0.96,3166,108,19,158,4.16,180.6,4.23,4.1,151,30,140,196,50,146,2013-14
202709,Cory Joseph,SAS,68,936.0,3.75,3.83,1946,33,1,54,4.73,73.7,5.03,4.41,35,14,111,55,71,45,2013-14
201584,Courtney Lee,MEM,79,1973.0,2.65,1.85,2709,51,2,49,4.28,140.3,4.49,4.06,65,28,130,257,207,42,2013-14
201571,D.J. Augustin,CHI,70,1925.0,5.61,6.17,4905,37,1,38,4.29,137.1,4.63,3.91,52,3,176,225,303,19,2013-14
203474,DJ Stephens,MIL,3,15.0,2.08,1.52,23,0,0,4,4.51,1.1,4.88,4.13,0,0,0,0,0,0,2013-14
201591,DJ White,CHA,2,10.0,1.69,0.12,16,0,0,0,4.68,0.8,4.61,4.75,1,0,0,0,0,0,2013-14
203081,Damian Lillard,POR,82,2937.0,5.31,5.23,6918,59,3,84,4.28,208.9,4.66,3.89,64,22,491,381,505,47,2013-14
202345,Damion James,SAS,5,50.0,1.63,0.87,75,3,0,3,4.66,3.9,4.99,4.32,0,1,0,0,2,2,2013-14
202350,Daniel Orton,PHI,22,251.0,1.59,0.4,403,25,39,50,4.15,17.3,4.53,3.79,6,16,0,12,2,30,2013-14
101122,Danny Granger,LAC,41,848.0,2.24,1.09,1103,26,90,59,4.1,57.8,4.28,3.92,12,17,37,158,29,49,2013-14
201980,Danny Green,SAS,68,1651.0,1.99,1.02,2545,38,6,58,4.64,127.3,5.03,4.25,65,61,51,328,120,50,2013-14
201967,Dante Cunningham,MIN,81,1635.0,1.5,0.28,2838,353,10,221,4.43,120.6,4.69,4.18,62,58,24,274,4,157,2013-14
203130,Darius Johnson-Odom,PHI,3,15.0,4.16,4.26,34,0,0,0,4.72,1.2,5.21,4.31,1,0,0,0,0,0,2013-14
203121,Darius Miller,NOP,45,723.0,2.44,1.23,721,15,8,19,4.03,48.5,4.23,3.81,24,9,33,102,39,5,2013-14
202721,Darius Morris,MEM,27,313.0,4.69,4.47,675,5,2,11,4.67,24.3,4.78,4.52,13,0,25,28,22,8,2013-14
201589,Darrell Arthur,DEN,68,1161.0,1.32,0.28,1681,92,44,109,4.12,79.5,4.47,3.81,39,47,14,248,26,66,2013-14
201954,Darren Collison,LAC,80,2069.0,4.36,4.06,4416,45,3,60,4.37,150.6,4.61,4.16,93,15,220,206,241,27,2013-14
101135,David Lee,GSW,68,2253.0,1.85,0.8,3627,262,405,490,4.14,154.3,4.43,3.88,48,25,133,82,28,445,2013-14
2561,David West,IND,80,2472.0,1.75,0.53,5032,499,465,386,3.71,152.6,3.89,3.53,61,74,123,336,116,289,2013-14
201599,DeAndre Jordan,LAC,82,2870.0,1.17,0.19,4043,268,86,798,3.92,187.4,4.15,3.71,80,203,2,0,2,725,2013-14
202732,DeAndre Liggins,MIA,1,1.0,1.46,1.0,2,0,0,1,4.28,0.1,0.0,0.0,0,0,0,0,0,2,2013-14
201971,DeJuan Blair,DAL,78,1214.0,1.44,0.4,1594,320,53,373,3.95,79.7,3.95,3.97,60,21,4,38,12,296,2013-14
201942,DeMar DeRozan,TOR,78,2982.0,3.33,2.57,4804,160,177,98,4.13,204.6,4.43,3.8,84,28,465,354,467,73,2013-14
202326,DeMarcus Cousins,SAC,70,2277.0,2.25,0.89,4474,312,737,523,3.83,144.2,3.88,3.76,107,91,222,202,100,462,2013-14
201960,DeMarre Carroll,ATL,73,2341.0,2.12,1.12,3382,62,14,227,4.11,160.1,4.23,3.99,108,21,74,313,48,192,2013-14
