PLAYER_ID,PLAYER_NAME,SEASON_LABEL,OFF_SPEED,DEF_SPEED,TIME_PER_TOUCH,DRIBBLES_PER_TOUCH,PTS_PER_TOUCH,DRIVE_PCT,CATCH_SHOOT_PCT,PULL_UP_PCT,PAINT_TOUCH_PCT,ARCHETYPE_ID,ARCHETYPE_CONFIDENCE
202687,Bismack Biyombo,2013-14,4.41,3.98,1.64,0.48,0.2570224719101123,0.0163934426229508,0.0765027322404371,0.0,0.907103825136612,2,0.993666205204767
201933,Blake Griffin,2013-14,4.24,3.7,2.08,0.93,0.1707975850015888,0.1283720930232558,0.2902325581395348,0.0781395348837209,0.5032558139534884,4,0.8739515236399659
2564,Boris Diaw,2013-14,4.79,3.83,1.72,0.7,0.1420133538777606,0.2332730560578662,0.3417721518987341,0.104882459312839,0.3200723327305605,3,0.5662334771391446
203078,Bradley Beal,2013-14,4.64,4.06,2.54,2.01,0.2481997119539126,0.1353965183752417,0.4052224371373307,0.3916827852998066,0.0676982591876208,7,0.49665918343851534
201148,Brandan Wright,2013-14,4.05,4.01,1.34,0.4,0.3067729083665338,0.0519480519480519,0.0779220779220779,0.0311688311688311,0.8389610389610389,2,0.9966975616353065
101138,Brandon Bass,2013-14,4.23,3.84,1.9,0.72,0.2150366358712966,0.0992592592592592,0.3318518518518518,0.1659259259259259,0.4029629629629629,5,0.8011170138836274
203561,Brandon Davies,2013-14,4.97,4.27,1.56,0.39,0.1243063263041065,0.0803571428571428,0.1428571428571428,0.0714285714285714,0.7053571428571429,4,0.8175145638738746
201943,Brandon Jennings,2013-14,4.69,3.89,5.55,5.83,0.1530238240684178,0.2854291417165668,0.184630738522954,0.5,0.029940119760479,1,0.5321868770906218
202688,Brandon Knight,2013-14,4.75,3.87,4.83,5.05,0.1705774671326343,0.3697560975609756,0.208780487804878,0.3668292682926829,0.0546341463414634,1,0.6098273325350176
201575,Brandon Rush,2013-14,4.41,4.02,2.04,1.02,0.160377358490566,0.2,0.5294117647058824,0.2705882352941176,0.0,0,0.7619127151788138
203148,Brian Roberts,2013-14,4.81,3.99,5.6,5.77,0.1725352112676056,0.3061224489795918,0.2747252747252747,0.4097331240188383,0.0094191522762951,9,0.7499675410662896
201572,Brook Lopez,2013-14,3.91,3.73,1.99,0.65,0.3557833089311859,0.0658436213991769,0.2633744855967078,0.0823045267489712,0.588477366255144,4,0.9968096242304273
201228,C.J. Watson,2013-14,4.66,4.08,4.84,4.81,0.1372233400402414,0.1466275659824047,0.4046920821114369,0.3020527859237537,0.1466275659824047,9,0.5538583193658808
203468,CJ McCollum,2013-14,4.89,4.1,3.21,2.76,0.2825443786982248,0.2356020942408377,0.4345549738219895,0.2774869109947644,0.0523560209424083,7,0.9012497877953882
