PLAYER_ID,PLAYER_NAME,SEASON_LABEL,GP,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,FG_PCT,FG3_PCT,FT_PCT,3P_RATE,FT_RATE,TS_PCT,AST_TOV
1628380,Zach Collins,2024-25,64,15.328125,6.359375,4.5,1.734375,0.453125,0.453125,0.9375,2.0625,153,302,32,106,69,78,102,186,0.5066225165562914,0.3018867924528302,0.8846153846153846,0.3509933774834437,0.2582781456953642,0.009454351510466223,1.85
1628381,John Collins,2017-18,74,24.12162162162162,10.5,7.3108108108108105,1.3243243243243243,0.6351351351351351,1.0810810810810811,1.4189189189189189,2.9054054054054053,314,545,16,47,133,186,176,365,0.5761467889908257,0.3404255319148936,0.7150537634408602,0.08623853211009175,0.3412844036697248,0.008375342990236742,0.9333333333333333
1628381,John Collins,2018-19,61,29.9672131147541,19.475409836065573,9.754098360655737,1.9836065573770492,0.36065573770491804,0.639344262295082,1.9672131147540983,3.262295081967213,465,831,55,158,203,266,219,376,0.5595667870036101,0.34810126582278483,0.7631578947368421,0.1901323706377858,0.3200962695547533,0.010271407238125804,1.0083333333333333
1628381,John Collins,2019-20,41,33.19512195121951,21.585365853658537,10.146341463414634,1.4634146341463414,0.7560975609756098,1.6097560975609757,1.829268292682927,3.3658536585365852,353,605,59,147,120,150,116,300,0.5834710743801653,0.4013605442176871,0.8,0.24297520661157024,0.24793388429752067,0.016084475300788777,0.7999999999999999
1628381,John Collins,2020-21,63,29.285714285714285,17.634920634920636,7.412698412698413,1.2380952380952381,0.5396825396825397,1.0,1.3333333333333333,3.0634920634920637,429,771,83,208,170,204,118,349,0.556420233463035,0.39903846153846156,0.8333333333333334,0.2697795071335927,0.26459143968871596,0.010243808166574095,0.9285714285714286
1628381,John Collins,2021-22,54,30.87037037037037,16.22222222222222,7.814814814814815,1.8148148148148149,0.6111111111111112,1.037037037037037,1.1111111111111112,3.037037037037037,339,644,64,176,134,169,93,329,0.5263975155279503,0.36363636363636365,0.7928994082840237,0.2732919254658385,0.26242236024844723,0.011291150831214309,1.6333333333333333
1628381,John Collins,2022-23,71,30.028169014084508,13.112676056338028,6.507042253521127,1.1971830985915493,0.5915492957746479,1.028169014084507,1.1126760563380282,3.0985915492957745,359,707,70,240,143,178,77,385,0.5077793493635078,0.2916666666666667,0.8033707865168539,0.33946251768033947,0.25176803394625175,0.008348619706831628,1.0759493670886076
1628381,John Collins,2023-24,68,27.926470588235293,15.102941176470589,8.455882352941176,1.1323529411764706,0.5882352941176471,0.8970588235294118,1.4411764705882353,2.8088235294117645,397,746,86,232,147,185,157,418,0.532171581769437,0.3706896551724138,0.7945945945945946,0.3109919571045576,0.2479892761394102,0.009126747145558731,0.7857142857142857
1628381,John Collins,2024-25,40,30.5,18.95,8.175,2.0,0.975,1.0,2.575,2.9,280,531,59,148,139,164,89,238,0.527306967984934,0.39864864864864863,0.8475609756097561,0.2787193973634652,0.3088512241054614,0.0157089329531136,0.7766990291262136
1628382,Justin Jackson,2017-18,68,22.16176470588235,6.661764705882353,2.75,1.088235294117647,0.4117647058823529,0.19117647058823528,0.5882352941176471,1.1911764705882353,185,419,57,185,26,36,27,160,0.441527446300716,0.3081081081081081,0.7222222222222222,0.441527446300716,0.08591885441527446,0.0076600182893505125,1.8499999999999999
